,sensor_id,latitude,longitude,season
0,1097BD3AFD38,40.73923333333333,-111.91556666666666,2024Spring
1,1097BD3B0ED4,40.757962500000005,-111.9218875,2024Spring
2,1097BD3B5330,40.77921612903226,-111.91476774193548,2024Spring
3,B8D61ABC1894,40.1134,-111.6623,2024Spring
4,B8D61ABC18BC,40.353350000000006,-110.70825,2024Spring
5,B8D61ABC18D4,40.7767,-111.9459,2024Spring
6,B8D61ABC18E8,40.3533,-110.7084,2024Spring
7,B8D61ABC1918,40.73310000000001,-111.91429999999998,2024Spring
8,B8D61ABC1994,40.776500000000006,-111.946,2024Spring
9,B8D61ABC1B20,40.7995186440678,-111.9258254237288,2024Spring
10,B8D61ABC1B24,40.7767,-111.946,2024Spring
11,B8D61ABC1B38,40.77673389830508,-111.94606779661018,2024Spring
12,B8D61ABC1BC8,40.3532,-110.7081,2024Spring
13,B8D61ABC1C1C,40.7768,-111.946,2024Spring
14,B8D61ABC1C34,40.7768,-111.946,2024Spring
15,B8D61ABC1EE0,40.7767,-111.946,2024Spring
16,B8D61ABC1F24,40.7391,-111.9155,2024Spring
17,B8D61ABC26CC,40.7768,-111.946,2024Spring
18,B8D61ABC7FBC,40.1131,-111.6616,2024Spring
19,B8D61ABC8258,40.1133,-111.6627,2024Spring
20,EC6260C228CC,40.15650166666667,-111.59122333333332,2024Spring
21,1097BD3AE3EC,40.76141081081081,-111.92047297297296,2024Summer
22,1097BD3AF388,40.78475609756097,-111.92125365853656,2024Summer
23,1097BD3AF590,40.78843,-111.9385,2024Summer
24,1097BD3AF6F8,40.76145151515151,-111.92040909090908,2024Summer
25,1097BD3AFD38,40.73936166666667,-111.91551833333332,2024Summer
26,1097BD3B01C8,40.75124,-111.92069,2024Summer
27,1097BD3B0A78,40.7658375,-111.879875,2024Summer
28,1097BD3B0ED4,40.758,-111.9218,2024Summer
29,1097BD3B1560,40.78680000000001,-111.93256666666666,2024Summer
30,1097BD3B1744,40.779034146341466,-111.9287024390244,2024Summer
31,1097BD3B5330,40.77931833333333,-111.91479333333334,2024Summer
32,B8D61ABC1884,40.3533,-110.7083,2024Summer
33,B8D61ABC1894,40.1564,-111.5912,2024Summer
34,B8D61ABC18C0,41.2488,-111.9499,2024Summer
35,B8D61ABC18CC,38.27520408163265,-112.63915102040816,2024Summer
36,B8D61ABC18D4,40.77699999999999,-111.9461,2024Summer
37,B8D61ABC18D8,40.6105,-111.8284,2024Summer
38,B8D61ABC18E8,40.15624571428572,-111.59111714285714,2024Summer
39,B8D61ABC1918,40.7955,-111.944,2024Summer
40,B8D61ABC193C,40.7663,-111.8473,2024Summer
41,B8D61ABC1950,40.787157692307694,-111.9236576923077,2024Summer
42,B8D61ABC1958,40.7682,-111.8456,2024Summer
43,B8D61ABC1984,40.35314375,-110.7084625,2024Summer
44,B8D61ABC1994,40.7767,-111.946,2024Summer
45,B8D61ABC1B20,40.79930000000001,-111.9261,2024Summer
46,B8D61ABC1B24,40.7768,-111.946,2024Summer
47,B8D61ABC1B38,40.7767,-111.946,2024Summer
48,B8D61ABC1B44,40.6788,-112.00280357142856,2024Summer
49,B8D61ABC1B50,39.6032,-110.7997,2024Summer
50,B8D61ABC1C0C,40.7723,-111.8611,2024Summer
51,B8D61ABC1C34,40.7767,-111.946,2024Summer
52,B8D61ABC1EE0,40.7768,-111.946,2024Summer
53,B8D61ABC1EF8,37.0945,-113.5787,2024Summer
